Node          U1          U2          U3
138 -0.00125408 -0.00120331 -0.000229965
139 -0.00148875 -0.00155091 -0.000250141
140 -0.00176856 -0.00200242 -0.00026961
141 -2.66924e-24 -8.41802e-25 3.50047e-25
142 -2.68095e-24 -8.87082e-25 2.2611e-25
143 -2.74834e-24 -9.27066e-25 1.00318e-25
144 -2.76587e-24 -9.36379e-25 -3.94893e-39
145 -2.74834e-24 -9.27066e-25 -1.00318e-25
146 -2.68095e-24 -8.87082e-25 -2.2611e-25
147 -2.66924e-24 -8.41802e-25 -3.50047e-25
148 2.27106e-24 -9.0291e-26 8.04914e-25
149 1.43134e-24 3.49368e-26 5.20888e-25
150 6.94582e-25 1.07719e-25 2.55103e-25
151 -3.0515e-26 1.28674e-25 -1.30452e-26
152 -7.54984e-25 1.2295e-25 -2.79507e-25
153 -1.48363e-24 5.64039e-26 -5.39444e-25
154 -2.28511e-24 -7.61505e-26 -8.09284e-25
155 -2.28511e-24 -7.61505e-26 8.09284e-25
156 -1.48363e-24 5.64039e-26 5.39444e-25
157 -7.54984e-25 1.2295e-25 2.79507e-25
158 -3.0515e-26 1.28674e-25 1.30452e-26
159 6.94582e-25 1.07719e-25 -2.55103e-25
160 1.43134e-24 3.49368e-26 -5.20888e-25
161 2.27106e-24 -9.0291e-26 -8.04914e-25
162 0.000515324 -0.00224595 0.000183386
163 0.000665601 -0.00221134 9.52043e-05
164 0.000843861 -0.00220652 6.55966e-05
165 0.000843861 -0.00220652 -6.55966e-05
166 0.000665601 -0.00221134 -9.52043e-05
167 0.000515324 -0.00224595 -0.000183386
168 0.00103703 -0.00343861 -0.000227722
169 0.00137744 -0.00446244 -0.000224559
170 0.00166407 -0.00565163 -0.000202725
171 0.00191968 -0.00696534 -0.000177571
172 0.00213812 -0.00840155 -0.000148661
173 0.00231866 -0.00993933 -0.000119085
174 0.0024548 -0.0115594 -9.02462e-05
175 0.00253952 -0.0132317 -6.51583e-05
176 0.00257316 -0.0149149 -4.84964e-05
177 0.00102852 -0.00352201 -0.000139231
178 0.00136787 -0.00454697 -0.000143979
179 0.00165883 -0.00573034 -0.000133574
180 0.00191449 -0.00703643 -0.000116724
181 0.00213214 -0.00846217 -9.8012e-05
182 0.00231077 -0.00998796 -7.85473e-05
183 0.002445 -0.0115949 -6.01267e-05
184 0.00252913 -0.0132546 -4.50734e-05
185 0.00256481 -0.0149281 -3.57572e-05
