Node          U1          U2          U3
134 -0.000647813 -0.000348752 -9.55526e-05
135 -0.000837757 -0.000547585 -0.000101603
136 -0.00102918 -0.00078848 -0.000106527
137 -0.00123132 -0.00107177 -0.000111845
138 -0.00145898 -0.00140708 -0.00011868
139 -0.00172893 -0.00182015 -0.000126969
140 -0.00205104 -0.00235401 -0.000134643
141 -2.99733e-24 -5.00391e-25 1.97711e-25
142 -2.98816e-24 -5.23663e-25 1.23396e-25
143 -3.01735e-24 -5.38983e-25 5.65497e-26
144 -3.02637e-24 -5.43131e-25 6.29245e-38
145 -3.01735e-24 -5.38983e-25 -5.65497e-26
146 -2.98816e-24 -5.23663e-25 -1.23396e-25
147 -2.99733e-24 -5.00391e-25 -1.97711e-25
148 2.42282e-24 -1.49006e-25 4.24587e-25
149 1.51848e-24 -9.79891e-26 2.7387e-25
150 7.327e-25 -6.68157e-26 1.32139e-25
151 -2.65878e-26 -5.20195e-26 -7.25504e-27
152 -7.84182e-25 -4.77558e-26 -1.45237e-25
153 -1.55833e-24 -6.94517e-26 -2.82643e-25
154 -2.41978e-24 -1.24708e-25 -4.25565e-25
155 -2.41978e-24 -1.24708e-25 4.25565e-25
156 -1.55833e-24 -6.94517e-26 2.82643e-25
157 -7.84182e-25 -4.77558e-26 1.45237e-25
158 -2.65878e-26 -5.20195e-26 7.25504e-27
159 7.327e-25 -6.68157e-26 -1.32139e-25
160 1.51848e-24 -9.79891e-26 -2.7387e-25
161 2.42282e-24 -1.49006e-25 -4.24587e-25
162 0.00058016 -0.00253996 9.85012e-05
163 0.000758018 -0.00250312 5.37241e-05
164 0.000978945 -0.00249579 3.70136e-05
165 0.000978945 -0.00249579 -3.70136e-05
166 0.000758018 -0.00250312 -5.37241e-05
167 0.00058016 -0.00253996 -9.85012e-05
168 0.00120937 -0.00393572 -0.0001082
169 0.00159145 -0.00513321 -0.00010939
170 0.00192024 -0.00649429 -9.87441e-05
171 0.00221022 -0.00800073 -8.6077e-05
172 0.00245866 -0.00964347 -7.12274e-05
173 0.00266308 -0.011402 -5.5547e-05
174 0.00281751 -0.013254 -3.98033e-05
175 0.00291351 -0.0151665 -2.56789e-05
176 0.00295155 -0.0170916 -1.61154e-05
177 0.00120803 -0.00397548 -6.63122e-05
178 0.00158781 -0.00517423 -6.93181e-05
179 0.00191839 -0.00653267 -6.47489e-05
180 0.00220801 -0.00803537 -5.63837e-05
181 0.00245562 -0.00967261 -4.66787e-05
182 0.00265872 -0.0114245 -3.61552e-05
183 0.00281179 -0.0132688 -2.5586e-05
184 0.00290724 -0.0151737 -1.63237e-05
185 0.00294603 -0.0170929 -1.0369e-05
186 0.00120681 -0.00399487 -3.06934e-05
187 0.00158566 -0.00519587 -3.28991e-05
188 0.0019152 -0.00655407 -3.13338e-05
189 0.00220462 -0.00805456 -2.75671e-05
190 0.00245155 -0.00968884 -2.27815e-05
191 0.00265372 -0.0114368 -1.75925e-05
192 0.00280594 -0.0132766 -1.23482e-05
193 0.00290123 -0.0151768 -7.64853e-06
194 0.00294049 -0.0170924 -4.57607e-06
195 0.00120658 -0.00400089 -1.50141e-17
196 0.00158481 -0.00520257 -3.1099e-17
197 0.00191405 -0.00656077 -4.30832e-17
198 0.00220317 -0.00806074 -5.07779e-17
199 0.00244988 -0.00969403 -5.42956e-17
200 0.00265174 -0.0114408 -5.47772e-17
201 0.00280366 -0.0132791 -5.81558e-17
202 0.00289882 -0.0151775 -5.70999e-17
203 0.00293818 -0.0170918 -6.31606e-17
204 0.00120681 -0.00399487 3.06934e-05
205 0.00158566 -0.00519587 3.28991e-05
206 0.0019152 -0.00655407 3.13338e-05
207 0.00220462 -0.00805456 2.75671e-05
208 0.00245155 -0.00968884 2.27815e-05
209 0.00265372 -0.0114368 1.75925e-05
210 0.00280594 -0.0132766 1.23482e-05
211 0.00290123 -0.0151768 7.64853e-06
212 0.00294049 -0.0170924 4.57607e-06
213 0.00120803 -0.00397548 6.63122e-05
214 0.00158781 -0.00517423 6.93181e-05
215 0.00191839 -0.00653267 6.47489e-05
216 0.00220801 -0.00803537 5.63837e-05
217 0.00245562 -0.00967261 4.66787e-05
218 0.00265872 -0.0114245 3.61552e-05
219 0.00281179 -0.0132688 2.5586e-05
220 0.00290724 -0.0151737 1.63237e-05
221 0.00294603 -0.0170929 1.0369e-05
222 0.00120937 -0.00393572 0.0001082
223 0.00159145 -0.00513321 0.00010939
224 0.00192024 -0.00649429 9.87441e-05
225 0.00221022 -0.00800073 8.6077e-05
226 0.00245866 -0.00964347 7.12274e-05
227 0.00266308 -0.011402 5.5547e-05
228 0.00281751 -0.013254 3.98033e-05
229 0.00291351 -0.0151665 2.56789e-05
230 0.00295155 -0.0170916 1.61154e-05
231 -0.0028135 -0.00402752 0.000103339
232 -0.00319533 -0.00516143 9.9873e-05
233 -0.00354111 -0.00649514 9.28873e-05
234 -0.00384042 -0.00799805 8.3066e-05
235 -0.00409051 -0.00964015 7.07014e-05
236 -0.00429455 -0.0113947 5.48752e-05
237 -0.0044564 -0.0132354 3.71425e-05
238 -0.00459423 -0.0151525 5.42628e-06
239 -0.00472215 -0.0171269 -2.67044e-05
240 -0.00281792 -0.00406767 6.47095e-05
241 -0.00319753 -0.00520207 6.29839e-05
242 -0.00354147 -0.00653367 5.94448e-05
243 -0.00383968 -0.00803279 5.38505e-05
244 -0.00408924 -0.00966977 4.59506e-05
245 -0.0042929 -0.0114177 3.59147e-05
246 -0.00445537 -0.0132523 2.18494e-05
247 -0.00458254 -0.0151594 5.67786e-06
248 -0.00470976 -0.0171118 -1.53379e-05
249 -0.00282107 -0.00408783 3.04166e-05
250 -0.00319913 -0.005223 2.98513e-05
251 -0.00354151 -0.00655437 2.84671e-05
252 -0.00383843 -0.00805199 2.59919e-05
253 -0.00408707 -0.00968627 2.23198e-05
254 -0.00429012 -0.011431 1.71469e-05
255 -0.00445035 -0.0132608 1.06266e-05
256 -0.00457721 -0.015164 2.50652e-06
257 -0.00469865 -0.017111 -3.85793e-06
258 -0.00282224 -0.00409385 1.60793e-16
259 -0.00319976 -0.00522947 1.81824e-16
260 -0.00354155 -0.00656088 2.02893e-16
261 -0.00383795 -0.00805808 2.1904e-16
262 -0.00408622 -0.00969164 2.30093e-16
263 -0.00428873 -0.0114351 2.43925e-16
264 -0.00444884 -0.013264 2.46955e-16
265 -0.00457435 -0.0151652 2.59669e-16
266 -0.00469706 -0.0171115 2.63365e-16
267 -0.00282107 -0.00408783 -3.04166e-05
268 -0.00319913 -0.005223 -2.98513e-05
269 -0.00354151 -0.00655437 -2.84671e-05
270 -0.00383843 -0.00805199 -2.59919e-05
271 -0.00408707 -0.00968627 -2.23198e-05
272 -0.00429012 -0.011431 -1.71469e-05
