1,7,2
2,7,8
2,8,3
3,8,9
3,9,4
4,9,10
4,10,5
5,10,11
5,11,6
6,11,12
7,13,8
8,13,14
8,14,9
9,14,15
9,15,10
10,15,16
10,16,11
11,16,17
11,17,12
12,17,18
13,19,14
14,19,20
14,20,15
15,20,21
15,21,16
16,21,22
16,22,17
17,22,23
17,23,18
18,23,24
19,25,20
20,25,26
20,26,21
21,26,27
21,27,22
22,27,28
22,28,23
23,28,29
23,29,24
24,29,30
25,31,26
26,31,32
26,32,27
27,32,33
27,33,28
28,33,34
28,34,29
29,34,35
29,35,30
30,35,36
31,37,32
32,37,38
32,38,33
33,38,39
33,39,34
34,39,40
34,40,35
35,40,41
35,41,36
36,41,42
37,43,38
38,43,44
38,44,39
39,44,45
39,45,40
40,45,46
40,46,41
41,46,47
41,47,42
42,47,48
43,49,44
44,49,50
44,50,45
45,50,51
45,51,46
46,51,52
46,52,47
47,52,53
47,53,48
48,53,54
49,55,50
50,55,56
50,56,51
51,56,57
51,57,52
52,57,58
52,58,53
53,58,59
53,59,54
54,59,60
55,61,56
56,61,62
56,62,57
57,62,63
57,63,58
58,63,64
58,64,59
59,64,65
59,65,60
60,65,66
61,67,62
62,67,68
62,68,63
63,68,69
63,69,64
64,69,70
64,70,65
65,70,71
65,71,66
66,71,72
67,73,68
68,73,74
68,74,69
69,74,75
69,75,70
70,75,76
70,76,71
71,76,77
71,77,72
72,77,78
73,79,74
74,79,80
74,80,75
75,80,81
75,81,76
76,81,82
76,82,77
77,82,83
77,83,78
78,83,84
79,85,80
80,85,86
80,86,81
81,86,87
81,87,82
82,87,88
82,88,83
83,88,89
83,89,84
84,89,90
85,91,86
86,91,92
86,92,87
87,92,93
87,93,88
88,93,94
88,94,89
89,94,95
89,95,90
90,95,96
91,97,92
92,97,98
92,98,93
93,98,99
93,99,94
94,99,100
94,100,95
95,100,101
95,101,96
96,101,102
97,103,98
98,103,104
98,104,99
99,104,105
99,105,100
100,105,106
100,106,101
101,106,107
101,107,102
102,107,108
103,109,104
104,109,110
104,110,105
105,110,111
105,111,106
106,111,112
106,112,107
107,112,113
107,113,108
108,113,114
109,115,110
110,115,116
110,116,111
111,116,117
111,117,112
112,117,118
112,118,113
113,118,119
113,119,114
114,119,120
115,121,116
116,121,122
116,122,117
117,122,123
117,123,118
118,123,124
118,124,119
119,124,125
119,125,120
120,125,126
121,127,122
122,127,128
122,128,123
123,128,129
123,129,124
124,129,130
124,130,125
125,130,131
125,131,126
126,131,132
127,133,128
128,133,134
128,134,129
129,134,135
129,135,130
130,135,136
130,136,131
131,136,137
131,137,132
132,137,138
133,139,134
134,139,140
134,140,135
135,140,141
135,141,136
136,141,142
136,142,137
137,142,143
137,143,138
138,143,144
139,145,140
140,145,146
140,146,141
141,146,147
141,147,142
142,147,148
142,148,143
143,148,149
143,149,144
144,149,150
145,151,146
146,151,152
146,152,147
147,152,153
147,153,148
148,153,154
148,154,149
149,154,155
149,155,150
150,155,156
